,cyclist_id,origin,destination
807,1316,26087,24888
808,1317,28461,29445
809,1318,24609,22547
810,1319,27451,30984
811,1320,29107,29375
812,1321,20398,27638
813,1322,28106,28107
814,1323,29026,25415
815,1325,18175,28102
816,1326,21391,21391
817,1327,19854,11074
818,1328,16367,13359
819,1330,12685,16368
820,1331,11732,26362
821,1332,15065,14081
822,1335,19146,27505
823,1336,20101,28163
824,1339,17771,18096
825,1341,17854,31410
826,1342,21034,21034
827,1343,22279,23853
828,1345,25788,17580
829,1346,22825,24609
830,1347,22249,24609
831,1348,24947,18889
832,1349,27538,26356
833,1350,30324,29456
834,1351,16684,26326
835,1352,28836,30657
836,1353,30654,28834
837,1356,28835,17859
838,1357,24965,25509
839,1358,28212,22590
840,1359,22901,18877
841,1360,18876,22591
842,1361,18241,19139
843,1362,30037,30363
844,1363,27638,20398
845,1364,14905,17531
846,1366,17579,26334
847,1367,23043,18764
848,1368,28101,22824
849,1370,19134,25424
850,1372,10730,11051
851,1374,31231,27450
852,1375,25192,25418
853,1376,22824,17873
854,1378,13359,16367
855,1381,24887,30373
856,1382,24597,27274
857,1384,24609,22825
858,1385,23853,22008
859,1386,26669,12247
860,1388,11732,26362
861,1389,26362,12081
862,1390,28425,29107
863,1391,29378,28143
864,1392,25708,17277
865,1393,24871,27620
866,1394,22230,19166
867,1395,27812,24910
868,1396,8445,20073
869,1397,17874,25760
870,1398,25710,29026
871,1399,21591,18876
872,1400,23195,29446
873,1401,26666,16684
874,1402,22007,23086
875,1404,24026,29437
876,1405,29439,29746
877,1406,24357,21052
878,1407,25428,24073
879,1408,25760,17873
880,1409,28153,25523
881,1410,22461,22581
882,1411,29026,24572
883,1412,24350,16983
884,1413,28104,28107
885,1414,20726,26075
886,1415,23532,24312
887,1416,17873,28095
888,1418,21673,26034
889,1419,14768,27210
890,1420,16367,13359
891,1421,29445,22884
892,1422,29107,28146
893,1423,12078,27001
894,1425,24577,25414
895,1426,18891,22517
896,1428,22883,22248
897,1429,25509,22554
898,1431,14335,25415
899,1432,20399,27638
900,1434,29115,24314
901,1435,18875,21589
902,1436,19147,27796
903,1437,17462,18096
904,1438,20417,27249
905,1440,22008,23852
906,1441,29116,24315
907,1442,23199,18241
908,1443,22249,24609
909,1444,12081,11721
