,cyclist_id,origin,destination
446,775,30373,24881
447,776,30373,29141
448,777,15177,13027
449,779,20100,28765
450,780,26085,26326
451,782,22888,12352
452,783,16678,25734
453,784,24627,24883
454,785,28177,27256
455,786,11051,11051
456,787,25510,22555
457,789,27801,19443
458,790,26666,20724
459,791,16984,26666
460,793,26093,26979
461,795,27044,29809
462,798,24538,16317
463,799,20398,27639
464,800,17852,31413
465,802,30656,26314
466,806,20102,27810
467,807,25967,23700
468,808,26715,21964
469,809,21690,23853
470,810,27012,28476
471,812,20726,18561
472,813,27012,24091
473,814,20417,26037
474,815,22235,20429
475,816,21964,25784
476,819,20100,28161
477,820,25240,22247
478,821,26232,27167
479,825,26364,25186
480,826,21026,24035
481,828,25953,20714
482,829,25710,28105
483,831,21606,21576
484,832,25240,25188
485,833,23543,23507
486,834,19443,24057
487,835,28105,25712
488,836,15370,17483
489,839,20734,19153
490,841,16317,22884
491,842,25219,25219
492,845,16603,16581
493,848,19772,18857
494,853,10821,18607
495,854,25728,24647
496,855,28447,20420
497,856,12355,22280
498,857,24034,22233
499,858,23700,25954
500,859,27810,19798
501,860,22977,25847
502,861,21953,20065
503,862,21657,22557
504,863,21037,21957
505,864,27538,18847
506,865,19456,27829
507,866,24881,30373
508,867,27250,25224
509,868,26044,23181
510,871,13971,16367
511,872,25710,24572
512,873,21953,20701
513,874,23224,24538
514,875,17268,20077
515,876,19778,25224
516,877,24313,28465
517,878,28100,29092
518,880,27206,16117
519,881,15231,11732
520,882,23853,21691
521,883,20731,28226
522,884,27222,19792
523,885,27540,23495
524,886,21605,24351
525,887,22887,24371
526,888,26717,23767
527,889,23767,26326
528,890,27226,26718
529,891,24024,26700
530,892,26669,12239
531,895,26037,24272
532,896,23155,26394
533,898,26370,25472
534,901,27934,31684
535,902,24352,21606
536,903,31375,31375
537,904,28105,28734
538,905,29017,25691
539,907,27572,25216
540,908,27570,30656
541,909,24609,23759
542,910,25460,25216
543,911,18425,15709
544,913,19155,20105
545,914,19792,25192
546,915,25725,19790
547,916,16678,19792
548,917,25450,20417
549,918,19792,20104
550,919,25186,26707
551,920,31662,29739
552,921,29444,27934
553,922,25782,15811
554,924,22274,25288
555,925,23508,23543
556,926,23541,23506
557,928,11732,27857
558,930,27187,30576
559,931,23155,21312
560,933,21392,21952
561,934,21034,23536
562,936,26373,31630
563,938,22277,14908
564,940,19795,28117
565,941,11410,6435
566,942,6434,11410
567,948,27857,11732
568,950,15807,13362
569,952,29452,24524
570,953,28096,28379
571,959,27036,25476
572,961,23473,26334
573,962,11733,11410
574,963,15749,15749
575,964,25122,30912
576,970,26086,25421
577,971,24527,30052
578,974,15818,22885
579,975,21956,18562
580,978,17276,13394
581,979,30272,24841
582,980,23200,23543
583,982,5095,18768
584,983,20429,21953
585,984,16104,16367
586,986,20398,23195
587,989,8971,21397
588,990,21397,8969
589,991,25750,21887
590,993,17602,24357
591,995,8918,19471
592,996,31630,25797
593,997,24363,20417
594,998,20417,22860
595,999,23195,17602
596,1000,13394,24363
597,1001,27468,25947
598,1002,26343,16367
599,1003,26343,16645
600,1004,26326,25256
601,1005,22249,19134
602,1006,30656,25429
603,1008,25193,24369
604,1010,18264,28112
605,1011,12078,22512
606,1015,28112,30575
607,1017,17873,25728
608,1018,24370,30656
609,1020,31228,30902
610,1021,26976,25691
611,1022,25691,25956
612,1023,22829,17201
613,1025,23154,11410
614,1029,14153,27450
615,1030,24073,18847
616,1031,13038,14330
617,1032,30892,18584
618,1033,19141,23777
619,1034,27962,24646
620,1038,29684,25429
621,1039,24690,20754
622,1040,25431,22824
623,1042,25257,25228
624,1043,22824,17538
625,1044,11405,11733
626,1045,24417,32973
627,1046,26027,26989
628,1049,22582,22582
629,1051,21606,22825
630,1052,24014,30897
631,1053,24634,25216
632,1054,26344,25216
633,1056,17183,19405
634,1057,19406,23447
635,1062,19988,21686
636,1064,25440,27284
637,1065,22581,24676
638,1066,21953,20111
639,1067,27450,30989
640,1068,21685,24889
641,1070,21065,24980
642,1071,21065,29083
643,1072,20398,27639
644,1074,28787,27577
645,1075,29032,28105
646,1077,15646,19121
647,1083,12090,25177
648,1084,23533,24869
649,1085,17282,26666
650,1086,21390,24321
651,1087,16112,26025
652,1088,11732,27564
653,1089,24539,16317
654,1090,24628,24883
655,1091,30656,26036
656,1099,27621,24597
657,1100,26323,19443
658,1102,23511,26921
659,1104,25510,19454
660,1105,24627,26654
661,1106,18857,27504
662,1107,15370,17483
663,1108,24070,25422
664,1110,25790,17270
665,1113,18246,25735
666,1114,20429,27525
667,1116,26672,26988
668,1118,25195,21629
669,1119,27801,25419
670,1120,17626,26326
671,1121,24889,25216
672,1122,18180,16828
673,1124,12083,12085
674,1125,24366,25195
675,1126,25441,27584
676,1127,27564,23471
677,1128,12085,12085
678,1131,17268,25790
679,1133,25193,30366
680,1134,24321,21391
681,1135,25416,24597
682,1136,27250,26369
683,1137,24597,23533
684,1138,27562,28784
685,1142,24882,21059
686,1144,16603,24538
687,1145,24943,20429
688,1146,27527,24941
689,1150,24869,27033
690,1151,24609,22235
691,1152,20417,25214
692,1153,26037,20417
693,1154,20417,26037
694,1155,27639,20398
695,1156,27257,26962
696,1157,18425,15369
697,1158,8872,12702
698,1159,26025,16112
699,1160,27035,24967
700,1162,29083,25099
701,1163,11410,11733
702,1164,25804,27036
703,1166,22826,25489
704,1167,25415,29032
705,1168,9934,25099
706,1170,25099,9936
707,1171,25228,16118
708,1173,28743,30034
709,1174,19168,19168
710,1175,25186,24366
711,1176,24340,12078
712,1177,26666,17873
713,1178,25089,28468
714,1179,28836,25258
715,1181,21376,16106
716,1182,29107,29379
717,1183,21685,24889
718,1184,29026,24572
719,1186,30067,25426
720,1188,16367,13032
721,1189,21390,24321
722,1190,30656,26314
723,1191,29379,28143
724,1192,30658,25187
725,1193,16112,26025
726,1196,19167,22517
727,1197,27035,13368
728,1199,20429,27528
729,1200,20398,27639
730,1201,27319,20398
731,1205,26093,27250
732,1206,25224,8922
733,1207,25114,9204
734,1208,15709,17483
735,1209,24651,27955
736,1210,21398,28784
737,1212,20094,25224
