stop,id_origine,start,length,purpose,liste_segm,n_coord,id,vertex_pos,vertex_index,vertex_part,vertex_part_index,distance,angle,node_id,n,distance_2,feature_x,feature_y,nearest_x,nearest_y
2013/07/31 07:49:57.000,3225,2013/07/31 07:03:44.000,13140,Domicile-travail,,3225,,-2,1607,0,1607,0.14452078322414,215.839424795198,28836,1,23.2302624343731,301039.681607217,5046592.09175812,301029.907223989,5046571.01792303
2013/07/31 08:13:19.000,3226,2013/07/31 07:57:17.000,4932,Commute,,3226,,1,1,0,1,0.00253793880185005,115.964164506246,24324,1,4.6868984128578,298715.002164312,5040792.15489827,298717.676429495,5040796.00396601
2013/07/31 08:13:19.000,3226,2013/07/31 07:57:17.000,4932,Commute,,3226,,-2,773,0,773,0.0517961659736804,338.338731739494,27164,1,39.3287547935722,300097.490905607,5037352.50389128,300114.713966011,5037387.86088697
2013/07/31 08:03:25.000,3228,2013/07/31 07:29:41.000,12598,Domicile-travail,,3228,,1,1,0,1,0.00285157022599362,61.847929821054,18725,1,0,295954.509728229,5031873.029838,295954.509728229,5031873.029838
2013/07/31 08:03:25.000,3228,2013/07/31 07:29:41.000,12598,Domicile-travail,,3228,,-2,1819,0,1819,0.134157830284968,12.6010497083929,26314,1,19.4140884511967,299711.986717559,5040261.36467886,299722.577249495,5040277.63574101
2013/07/31 08:11:02.000,3229,2013/07/31 07:41:26.000,8823,Domicile-travail,,3229,,1,1,0,1,0.000583348846750473,9.05262376313101,30658,1,45.8167742260644,302112.143154759,5046454.46146636,302153.494886967,5046434.73303399
2013/07/31 08:11:02.000,3229,2013/07/31 07:41:26.000,8823,Domicile-travail,,3229,,-2,1513,0,1513,0.0897846610052467,145.385158188497,24881,1,18.1638518335372,299033.303889371,5040176.49373963,299018.267903989,5040186.68415949
2013/07/31 08:19:02.000,3232,2013/07/31 07:55:38.000,7243,Domicile-travail,,3232,,1,1,0,1,0.000634173686304704,194.468129852156,17282,1,7.35821100680978,295146.082731788,5044403.57316262,295139.309803033,5044406.44904601
2013/07/31 08:19:02.000,3232,2013/07/31 07:55:38.000,7243,Domicile-travail,,3232,,-2,570,0,570,0.0810594952968745,123.582058032145,24881,1,25.7271233784839,299039.531277298,5040172.20127881,299018.267903989,5040186.68415949
2013/07/31 08:23:13.000,3233,2013/07/31 07:54:13.000,9334,Commute,,3233,,1,1,0,1,0.000338740474573576,324.780536399655,26120,1,25.8320866803465,299492.682334964,5046227.50920674,299516.140971967,5046216.69305899
2013/07/31 08:23:13.000,3233,2013/07/31 07:54:13.000,9334,Commute,,3233,,-2,1006,0,1006,0.0991204582304897,118.420233768662,26660,1,14.3179025072366,299961.840156963,5040412.03422834,299955.339965243,5040399.27688379
2013/07/31 06:10:40.000,3234,2013/07/31 06:01:30.000,2399,Sport,,3234,,1,1,0,1,0.00114617060837889,212.686995077804,29793,1,1.99447634416309,301452.726577885,5048203.55777935,301454.278966011,5048202.3055705
2013/07/31 06:10:40.000,3234,2013/07/31 06:01:30.000,2399,Sport,,3234,,-2,477,0,477,0.0249421595067662,250.072465386502,29459,1,0.243152574473977,301304.773115788,5046443.74611988,301304.532956825,5046443.78415732
2013/07/31 08:29:43.000,3236,2013/07/31 08:04:47.000,8573,Commute,,3236,,1,1,0,1,0.00075307879116055,222.424000394547,23532,1,2.12501731694606,298269.052340645,5045864.00051712,298271.057886967,5045863.29803399
2013/07/31 08:29:43.000,3236,2013/07/31 08:04:47.000,8573,Commute,,3236,,-2,1272,0,1272,0.0898683517643669,103.860631113726,24872,1,11.6451289742145,298976.913901602,5039395.74290956,298983.310429495,5039405.47396601
2013/07/31 08:31:42.000,3237,2013/07/31 08:13:51.000,4649,Domicile-travail,,3237,,1,1,0,1,5.83254873559841e-05,160.300763644423,29107,1,4.29061350874039,301164.620994337,5044712.27652186,301166.56889211,5044716.09948649
2013/07/31 08:31:42.000,3237,2013/07/31 08:13:51.000,4649,Domicile-travail,,3237,,-2,869,0,869,0.048683049402754,323.017761181347,28143,1,1.75633558541895,300630.819449316,5041172.77527886,300631.118966011,5041174.50588697
2013/07/31 08:40:20.000,3239,2013/07/31 08:28:30.000,2590,School,,3239,,1,1,0,1,0.000902008132113988,212.392601771277,21356,1,27.7912514542459,297268.591582206,5042118.47092236,297253.325570505,5042095.24803399
